# E0 = 19.46
time,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20
1.700000,6.3176024892e-01,5.3893018094e-01,6.0266115020e-01,4.4889381688e-01,5.4370844978e-01,4.3233282212e-01,5.7718234705e-01,4.3339684623e-01,5.7574579365e-01,4.2743221881e-01,5.7256593467e-01,4.2424210332e-01,5.6658282314e-01,4.2275220620e-01,5.6771814212e-01,4.5618820181e-01,5.5132121997e-01,3.9745128299e-01,4.6083787932e-01,3.6829633188e-01
1.750000,6.4158448965e-01,5.3648362123e-01,6.0347988743e-01,4.4199664781e-01,5.4365709405e-01,4.2937351394e-01,5.7874635596e-01,4.3168837475e-01,5.7857139447e-01,4.2498821745e-01,5.7500879272e-01,4.2141407101e-01,5.6829320118e-01,4.2118439078e-01,5.7068747822e-01,4.5624438690e-01,5.5820398961e-01,3.9662227765e-01,4.6330864749e-01,3.5846316769e-01
1.800000,6.5049947778e-01,5.3555609924e-01,6.0231687044e-01,4.3747515019e-01,5.4198813356e-01,4.2836337267e-01,5.7794647265e-01,4.3204546190e-01,5.7926222122e-01,4.2464897618e-01,5.7534677171e-01,4.2072089507e-01,5.6793896652e-01,4.2198034479e-01,5.7170632931e-01,4.5791764420e-01,5.6270776848e-01,3.9777201134e-01,4.6426856882e-01,3.4953846392e-01
1.850000,6.5832395575e-01,5.3596479877e-01,5.9947538638e-01,4.3526718014e-01,5.3889856536e-01,4.2913685778e-01,5.7498431142e-01,4.3429128760e-01,5.7795475777e-01,4.2626902084e-01,5.7372543529e-01,4.2202619710e-01,5.6569656856e-01,4.2493846253e-01,5.7094011908e-01,4.6101104308e-01,5.6489500690e-01,4.0059808026e-01,4.6389932882e-01,3.4170363659e-01
1.900000,6.6490127506e-01,5.3748322897e-01,5.9537082894e-01,4.3520518550e-01,5.3461838537e-01,4.3145790674e-01,5.7015205217e-01,4.3816444645e-01,5.7486895307e-01,4.2962201620e-01,5.7037121973e-01,4.2511011534e-01,5.6182695372e-01,4.2976669056e-01,5.6862477971e-01,4.6529464898e-01,5.6493396043e-01,4.0468573215e-01,4.6242602036e-01,3.3511560054e-01
1.950000,6.7010399981e-01,5.3986160958e-01,5.9049140781e-01,4.3703576095e-01,5.2939857400e-01,4.3504460605e-01,5.6380411575e-01,4.4333944339e-01,5.7028817145e-01,4.3442005308e-01,5.6557212906e-01,4.2968934288e-01,5.5665514096e-01,4.3611082981e-01,5.6504202268e-01,4.7051754573e-01,5.6307911656e-01,4.0954713686e-01,4.6009683682e-01,3.2990215676e-01
2.000000,6.7383921468e-01,5.4284769106e-01,5.8535060161e-01,4.4044273968e-01,5.2350324798e-01,4.3959358215e-01,5.5632737207e-01,4.4945016699e-01,5.6453665574e-01,4.4033492437e-01,5.5965644412e-01,4.3543965774e-01,5.5054681781e-01,4.4358428335e-01,5.6049493058e-01,4.7641569381e-01,5.5964802085e-01,4.1466896054e-01,4.5716232783e-01,3.2615666702e-01
2.050000,6.7605366737e-01,5.4620608256e-01,5.8043694226e-01,4.4507233534e-01,5.1720479621e-01,4.4480162478e-01,5.4811316088e-01,4.5611441247e-01,5.5795654597e-01,4.4701957867e-01,5.5297125691e-01,4.4201890466e-01,5.4388387241e-01,4.5179598160e-01,5.5528636219e-01,4.8271679833e-01,5.5499600239e-01,4.1956264817e-01,4.5385614104e-01,3.2393288580e-01
2.100000,6.7673786152e-01,5.4973417180e-01,5.7616725610e-01,4.5055884987e-01,5.1078002108e-01,4.5038280347e-01,5.3953401655e-01,4.6295742227e-01,5.5088635007e-01,4.5412805526e-01,5.4586252364e-01,4.4908854125e-01,5.3704088964e-01,4.6037361106e-01,5.4970190275e-01,4.8914416080e-01,5.4949029868e-01,4.2381127588e-01,4.5037916239e-01,3.2324082592e-01
2.150000,6.7592834985e-01,5.5327305551e-01,5.7284902645e-01,4.5654947032e-01,5.0450521773e-01,4.5608023668e-01,5.3092711500e-01,4.6963256757e-01,5.4364238251e-01,4.6133253374e-01,5.3865801611e-01,4.5633222870e-01,5.3036446428e-01,4.6898013778e-01,5.4399818202e-01,4.9542158545e-01,5.4348507657e-01,4.2710729298e-01,4.4688863711e-01,3.2404442365e-01
