# E0 = 12.75
time,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_39,n_40,n_41,n_42,n_43,n_44,n_45,n_46,n_47,n_48,n_49,n_50
9.400000,5.1899309700e-01,5.0575245678e-01,5.2741327424e-01,4.9695431130e-01,5.1895319175e-01,4.8233897287e-01,5.6006285849e-01,4.5852819878e-01,5.5142016864e-01,5.5079181952e-01,4.8872895632e-01,5.0502400617e-01,5.3618614390e-01,4.7769284404e-01,5.2028694235e-01,5.1319566651e-01,5.6292844135e-01,4.8985910299e-01,5.5922587915e-01,4.9471243335e-01,5.0805278697e-01,4.8848438698e-01,5.2152768887e-01,4.9207236238e-01,5.2182748756e-01,4.6077564894e-01,5.2408501823e-01,4.7680618139e-01,5.1631696100e-01,4.8400665916e-01,4.9539587789e-01,4.5975788568e-01,4.9051289694e-01,4.7370985723e-01,4.4432031243e-01,4.7976992847e-01,5.1917011454e-01,4.6299586708e-01,4.8258272861e-01,5.0884070371e-01,4.3358589749e-01,4.5197232173e-01,5.4520522096e-01,4.4547375011e-01,5.1659348536e-01,4.9705005804e-01,5.1574871886e-01,4.7612037702e-01,4.9394335665e-01,4.9424669421e-01
9.450000,5.1738927080e-01,5.1003940305e-01,5.2402763068e-01,4.9884498183e-01,5.1817239823e-01,4.8321366011e-01,5.5977378053e-01,4.6103719598e-01,5.4778968175e-01,5.5337192260e-01,4.8781441840e-01,5.0384130931e-01,5.3875888212e-01,4.7686470649e-01,5.1830395878e-01,5.0956122013e-01,5.6730254076e-01,4.8657277123e-01,5.6215476248e-01,4.9337102992e-01,5.1160742915e-01,4.8518744191e-01,5.2531876143e-01,4.8814102647e-01,5.2445695150e-01,4.5880387099e-01,5.2704251183e-01,4.7268935083e-01,5.1921933674e-01,4.8259700389e-01,4.9719158795e-01,4.5389937626e-01,4.9528724904e-01,4.7076907147e-01,4.4655050481e-01,4.7995284715e-01,5.2199127979e-01,4.5826767814e-01,4.8451453534e-01,5.1093731433e-01,4.3013787843e-01,4.5483784995e-01,5.4339022189e-01,4.4599112807e-01,5.1525062617e-01,4.9774590097e-01,5.1382908132e-01,4.8073725257e-01,4.8926481020e-01,4.9618459622e-01
9.500000,5.1573485631e-01,5.1449293958e-01,5.2039778873e-01,5.0078307292e-01,5.1725158344e-01,4.8498205841e-01,5.5790223684e-01,4.6500439270e-01,5.4364496381e-01,5.5563545023e-01,4.8708094051e-01,5.0322907285e-01,5.4026082452e-01,4.7708432061e-01,5.1579307235e-01,5.0650540345e-01,5.7051961781e-01,4.8445179576e-01,5.6399601209e-01,4.9284594708e-01,5.1438805666e-01,4.8290462069e-01,5.2806070934e-01,4.8507173346e-01,5.2616303433e-01,4.5797229904e-01,5.2884814952e-01,4.6957284321e-01,5.2134008711e-01,4.8169159507e-01,4.9839922431e-01,4.4891701953e-01,4.9922127446e-01,4.6852589813e-01,4.4855431716e-01,4.8054489536e-01,5.2380259849e-01,4.5444576970e-01,4.8606999886e-01,5.1272532343e-01,4.2719690471e-01,4.5812809720e-01,5.4015925831e-01,4.4801408693e-01,5.1318478025e-01,4.9834789655e-01,5.1196312132e-01,4.8550521143e-01,4.8453603985e-01,4.9814880563e-01
9.550000,5.1410829843e-01,5.1900866773e-01,5.1662718753e-01,5.0276915866e-01,5.1616514016e-01,4.8765890327e-01,5.5454107795e-01,4.7031723030e-01,5.3917035587e-01,5.5749647274e-01,4.8656448389e-01,5.0325232687e-01,5.4074342569e-01,4.7827461774e-01,5.1281948937e-01,5.0401150467e-01,5.7252600702e-01,4.8346123110e-01,5.6475660274e-01,4.9312984718e-01,5.1637504531e-01,4.8167223907e-01,5.2971654944e-01,4.8289345783e-01,5.2692279390e-01,4.5828568489e-01,5.2950380564e-01,4.6748086117e-01,5.2265934174e-01,4.8130290538e-01,4.9901573836e-01,4.4485385580e-01,5.0221362615e-01,4.6700116127e-01,4.5032677339e-01,4.8149081738e-01,5.2459155521e-01,4.5159527126e-01,4.8719592458e-01,5.1417824818e-01,4.2483815833e-01,4.6169976555e-01,5.3562429825e-01,4.5146789976e-01,5.1039722250e-01,4.9886573019e-01,5.1018127298e-01,4.9030023953e-01,4.7988200661e-01,5.0006572140e-01
9.600000,5.1254238651e-01,5.2344797611e-01,5.1279880607e-01,5.0474885299e-01,5.1488706948e-01,4.9118513895e-01,5.4977651848e-01,4.7676984827e-01,5.3447756126e-01,5.5883324408e-01,4.8625507285e-01,5.0383216725e-01,5.4014894052e-01,4.8041506934e-01,5.0939782997e-01,5.0211895648e-01,5.7335649710e-01,4.8363433796e-01,5.6447041361e-01,4.9419765171e-01,5.1757167074e-01,4.8150921766e-01,5.3027546331e-01,4.8164077828e-01,5.2673953154e-01,4.5973413400e-01,5.2903992173e-01,4.6640584159e-01,5.2317461994e-01,4.8138987846e-01,4.9905862025e-01,4.4175185662e-01,5.0423754348e-01,4.6623234626e-01,4.5191135708e-01,4.8275320458e-01,5.2440595780e-01,4.4977719862e-01,4.8786249944e-01,5.1530286751e-01,4.2315444518e-01,4.6542471396e-01,5.2996353312e-01,4.5625084606e-01,5.0693267546e-01,4.9932908812e-01,5.0852755543e-01,4.9501730490e-01,4.7543527586e-01,5.0189571403e-01
9.650000,5.1110416949e-01,5.2769586056e-01,5.0901293418e-01,5.0671357299e-01,5.1340841069e-01,4.9550378533e-01,5.4377924939e-01,4.8415926846e-01,5.2975258856e-01,5.5956413361e-01,4.8618029348e-01,5.0498125531e-01,5.3857490159e-01,4.8336104530e-01,5.0566026966e-01,5.0076429693e-01,5.7302449430e-01,4.8489455310e-01,5.6319072121e-01,4.9599843607e-01,5.1798828699e-01,4.8239098858e-01,5.2976133438e-01,4.8129961318e-01,5.2564115528e-01,4.6224630468e-01,5.2752081658e-01,4.6631267617e-01,5.2290165913e-01,4.8191134321e-01,4.9855009918e-01,4.3961673432e-01,5.0526876669e-01,4.6621954640e-01,4.5334348604e-01,4.8427160852e-01,5.2329065526e-01,4.4901447118e-01,4.8803748171e-01,5.1610174613e-01,4.2220930168e-01,4.6914047422e-01,5.2337131178e-01,4.6221158217e-01,5.0284561631e-01,4.9974902544e-01,5.0702478124e-01,4.9954335954e-01,4.7131616488e-01,5.0357536890e-01
9.700000,5.0985114514e-01,5.3163152210e-01,5.0536821061e-01,5.0864028713e-01,5.1173443250e-01,5.0052179346e-01,5.3675133241e-01,4.9224544915e-01,5.2517007516e-01,5.5961616620e-01,4.8635551047e-01,5.0667768699e-01,5.3610768982e-01,4.8698083304e-01,5.0170738701e-01,4.9988578350e-01,5.7157930154e-01,4.8716668505e-01,5.6099485504e-01,4.9847640857e-01,5.1766125091e-01,4.8428205279e-01,5.2821838614e-01,4.8183606370e-01,5.2368753249e-01,4.6572411007e-01,5.2503168432e-01,4.6713748781e-01,5.2187781011e-01,4.8281861583e-01,4.9753082277e-01,4.3843690643e-01,5.0531901728e-01,4.6695465492e-01,4.5466027106e-01,4.8597785251e-01,5.2130144696e-01,4.4930549883e-01,4.8770182097e-01,5.1658333092e-01,4.2205392662e-01,4.7268100617e-01,5.1607359749e-01,4.6916269508e-01,4.9821372705e-01,5.0013860361e-01,5.0569438085e-01,5.0377619061e-01,4.6764088801e-01,5.0505581279e-01
9.750000,5.0883660337e-01,5.3514062818e-01,5.0196293910e-01,5.1049989280e-01,5.0989013520e-01,5.0612256027e-01,5.2892967592e-01,5.0077293000e-01,5.2090297876e-01,5.5893290278e-01,4.8678187057e-01,5.0887815357e-01,5.3285527757e-01,4.9113719948e-01,4.9764762804e-01,4.9941607226e-01,5.6908712183e-01,4.9035626717e-01,5.5798178121e-01,5.0156762444e-01,5.1664966281e-01,4.8711981151e-01,5.2571723107e-01,4.8318671935e-01,5.2096573444e-01,4.7004957744e-01,5.2167854000e-01,4.6879204908e-01,5.2016010774e-01,4.8405560077e-01,4.9605029538e-01,4.3817991272e-01,5.0441674288e-01,4.6841581257e-01,4.5589261099e-01,4.8779389336e-01,5.1852435935e-01,4.5061826588e-01,4.8684919907e-01,5.1676152949e-01,4.2273096491e-01,4.7588608364e-01,5.0830754625e-01,4.7688449026e-01,4.9313457527e-01,5.0050489471e-01,5.0454966388e-01,5.0761994734e-01,4.6451552224e-01,5.0628841307e-01
9.800000,5.0810799448e-01,5.3811441479e-01,4.9888968642e-01,5.1225652474e-01,5.0790950865e-01,5.1216008026e-01,5.2057140726e-01,5.0947228177e-01,5.1711112860e-01,5.5748438686e-01,4.8745434279e-01,5.1153571054e-01,5.2893958521e-01,4.9569405445e-01,4.9359256416e-01,4.9929104254e-01,5.6563978298e-01,4.9434734418e-01,5.5427177007e-01,5.0519125220e-01,5.1503727768e-01,4.9082548929e-01,5.2234014564e-01,4.8526935838e-01,5.1757715252e-01,4.7508863985e-01,5.1757961096e-01,4.7117243007e-01,5.1781820180e-01,4.8556198923e-01,4.9417415671e-01,4.3879133294e-01,5.0261651918e-01,4.7056552728e-01,4.5706314492e-01,4.8964656251e-01,5.1505433633e-01,4.5289219583e-01,4.8547950153e-01,5.1665807795e-01,4.2426374968e-01,4.7860812616e-01,5.0032361654e-01,4.8512917038e-01,4.8772354300e-01,5.0084778579e-01,5.0360339384e-01,5.1098890741e-01,4.6203659500e-01,5.0722859865e-01
9.850000,5.0770933493e-01,5.4045633064e-01,4.9623273719e-01,5.1387258195e-01,5.0584415138e-01,5.1847426900e-01,5.1195551707e-01,5.1808158006e-01,5.1393136693e-01,5.5526385898e-01,4.8835971261e-01,5.1457148988e-01,5.2449783904e-01,5.0050615074e-01,4.8965008579e-01,4.9943190151e-01,5.6135423045e-01,4.9901175624e-01,5.4999318397e-01,5.0925146610e-01,5.1292282415e-01,4.9529919930e-01,5.1818168182e-01,4.8798571968e-01,5.1362894342e-01,4.8069182201e-01,5.1286492263e-01,4.7416689949e-01,5.1494001832e-01,4.8727403488e-01,4.9197549466e-01,4.4019716964e-01,4.9999320967e-01,4.7334547832e-01,4.5819167671e-01,4.9144768301e-01,5.1101033451e-01,4.5604304232e-01,4.8363311178e-01,5.1629294142e-01,4.2665835687e-01,4.8071707323e-01,4.9238095908e-01,4.9363217072e-01,4.8211665414e-01,5.0115290018e-01,5.0286599395e-01,5.1380872768e-01,4.6028774606e-01,5.0784366587e-01
9.900000,5.0767805345e-01,5.4208472917e-01,4.9406608188e-01,5.1531590080e-01,5.0375766436e-01,5.2489427169e-01,5.0336227363e-01,5.2634076858e-01,5.1148457466e-01,5.5228214737e-01,4.8947568908e-01,5.1791593875e-01,5.1967096289e-01,5.0543254791e-01,4.8592572366e-01,4.9976043801e-01,5.5636398236e-01,5.0421139520e-01,5.4527676108e-01,5.1365516622e-01,5.1041688854e-01,5.0042447745e-01,5.1335686639e-01,4.9122676779e-01,5.0923621761e-01,4.8671156667e-01,5.0768191679e-01,4.7765571864e-01,5.1161795008e-01,4.8913185097e-01,4.8953904631e-01,4.4231483787e-01,4.9665961299e-01,4.7667813209e-01,4.5931023514e-01,4.9311826187e-01,5.0652097595e-01,4.5994120123e-01,4.8134745105e-01,5.1568087049e-01,4.2990135858e-01,4.8209917718e-01,4.8470980344e-01,5.0212410371e-01,4.7645385649e-01,5.0139302197e-01,5.0234132756e-01,5.1601594519e-01,4.5934060910e-01,5.0809488007e-01
9.950000,5.0804626090e-01,5.4293249320e-01,4.9245395536e-01,5.1655475118e-01,5.0172502950e-01,5.3124182973e-01,4.9507017700e-01,5.3400645782e-01,5.0986471713e-01,5.4857180506e-01,4.9078674695e-01,5.2148629744e-01,5.1460735505e-01,5.1034353808e-01,4.8251720696e-01,5.0020326717e-01,5.5080307541e-01,5.0979822453e-01,5.4025420133e-01,5.1829502378e-01,5.0762993147e-01,5.0606858155e-01,5.0799229587e-01,4.9487681250e-01,5.0451417189e-01,4.9299956150e-01,5.0217888766e-01,4.8150913815e-01,5.0795322354e-01,4.9107730721e-01,4.8694208049e-01,4.4504741500e-01,4.9274298364e-01,4.8047159322e-01,4.6045461555e-01,4.9458365579e-01,5.0171930165e-01,4.6445649583e-01,4.7866455541e-01,5.1483906002e-01,4.3396046842e-01,4.8266528053e-01,4.7752786382e-01,5.1034315616e-01,4.7088750658e-01,5.0153281775e-01,5.0203027117e-01,5.1756590820e-01,4.5924469319e-01,5.0795795267e-01
10.000000,5.0883079891e-01,5.4294443927e-01,4.9144391515e-01,5.1755238898e-01,4.9982475559e-01,5.3733225722e-01,4.8734171895e-01,5.4085308681e-01,5.0913008130e-01,5.4416837788e-01,4.9227023699e-01,5.2519599794e-01,5.0945480974e-01,5.1510362302e-01,4.7950619518e-01,5.0068975319e-01,5.4481192521e-01,5.1562336360e-01,5.3505401861e-01,5.2306386546e-01,5.0467250498e-01,5.1209072859e-01,5.0222029121e-01,4.9882209525e-01,4.9959193036e-01,4.9941550856e-01,4.9651351872e-01,4.8559988239e-01,5.0405101257e-01,4.9305594732e-01,4.8425892043e-01,4.4828804342e-01,4.8838305727e-01,4.8463036949e-01,4.6165155461e-01,4.9578732842e-01,4.9673472949e-01,4.6944893337e-01,4.7564107359e-01,5.1379440742e-01,4.3878549322e-01,4.8236285674e-01,4.7103427675e-01,5.1803830312e-01,4.6557803307e-01,5.0153581306e-01,5.0193318129e-01,5.1843325612e-01,4.6002667393e-01,5.0742466623e-01
10.050000,5.1004082887e-01,5.4208950534e-01,4.9107374682e-01,5.1828052788e-01,4.9814664214e-01,5.4298656607e-01,4.8042678607e-01,5.4669056438e-01,5.0931464682e-01,5.3913562966e-01,4.9390942986e-01,5.2895625654e-01,5.0436520394e-01,5.1958425591e-01,4.7696715710e-01,5.0115879437e-01,5.3852886735e-01,5.2154002304e-01,5.2980030986e-01,5.2784194975e-01,5.0165880562e-01,5.1834339441e-01,4.9619017885e-01,5.0294580501e-01,4.9458121650e-01,5.0582648858e-01,4.9082447781e-01,4.8980018587e-01,5.0001664497e-01,4.9502593993e-01,4.8155176105e-01,4.5192341390e-01,4.8372647082e-01,4.8905250985e-01,4.6293281357e-01,4.9667408631e-01,4.9169141798e-01,4.7476434108e-01,4.7234974861e-01,5.1257034455e-01,4.4430672711e-01,4.8117093493e-01,4.6539204099e-01,5.2497494912e-01,4.6067730817e-01,5.0135795580e-01,5.0204337793e-01,5.1860769994e-01,4.6168851881e-01,5.0649275017e-01
10.100000,5.1167167184e-01,5.4035471078e-01,4.9136498184e-01,5.1870886769e-01,4.9678259660e-01,5.4803119092e-01,4.7454509650e-01,5.5136387264e-01,5.1041741804e-01,5.3354279055e-01,4.9568744989e-01,5.3266977087e-01,4.9948408802e-01,5.2365947688e-01,4.7494350058e-01,5.0155756241e-01,5.3210178183e-01,5.2739283923e-01,5.2461463654e-01,5.3251419448e-01,4.9869504721e-01,5.2467555813e-01,4.9004566444e-01,5.0713618879e-01,4.8958762729e-01,5.1211004595e-01,4.8525347050e-01,4.9399009619e-01,4.9594300308e-01,4.9693779572e-01,4.7888837381e-01,4.5584122457e-01,4.7891169026e-01,4.9362924778e-01,4.6433430003e-01,4.9720456862e-01,4.8671571158e-01,4.8025013729e-01,4.6887551520e-01,5.1119934993e-01,4.5043417391e-01,4.7910917134e-01,4.6073892843e-01,5.3094653450e-01,4.5632944836e-01,5.0096614580e-01,5.0235436822e-01,5.1809771478e-01,4.6421501614e-01,5.0517538403e-01
10.150000,5.1371595519e-01,5.3775457508e-01,4.9232536805e-01,5.1881872741e-01,4.9582970221e-01,5.5231201815e-01,4.6988829358e-01,5.5476160455e-01,5.1241954644e-01,5.2747875997e-01,4.9759228093e-01,5.3624965966e-01,4.9494736829e-01,5.2721854087e-01,4.7348111145e-01,5.0185141060e-01,5.2569486016e-01,5.3301527545e-01,5.1959609624e-01,5.3696041533e-01,4.9587616860e-01,5.3094146632e-01,4.8392620243e-01,5.1129193811e-01,4.8470652657e-01,5.1814528860e-01,4.7993908156e-01,4.9805448960e-01,4.9191446360e-01,4.9874012247e-01,4.7633275722e-01,4.5993282275e-01,4.7408170465e-01,4.9826363720e-01,4.6587758194e-01,4.9734389665e-01,4.8192006271e-01,4.8575299487e-01,4.6529964360e-01,5.0970570095e-01,4.5705170326e-01,4.7621330473e-01,4.5717603457e-01,5.3577373845e-01,4.5266403425e-01,5.0032048695e-01,5.0285399474e-01,5.1692625884e-01,4.6756908447e-01,5.0349323973e-01
