# E0 = 9.610000000000001
time,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
2.550000,6.2437546588e-01,5.6460502866e-01,5.7826284056e-01,5.4924827090e-01,4.8981979613e-01,5.1021074505e-01,4.5055779853e-01,4.2155813297e-01,4.3574796203e-01,3.7561395929e-01
2.600000,6.1615478429e-01,5.7024263556e-01,5.8145156221e-01,5.5429839173e-01,4.8860600663e-01,5.1143014657e-01,4.4551330650e-01,4.1836598656e-01,4.3008544939e-01,3.8385173056e-01
2.650000,6.0835543481e-01,5.7647557970e-01,5.8330988142e-01,5.5890175108e-01,4.8850490577e-01,5.1153636480e-01,4.4091698204e-01,4.1651349623e-01,4.2381676318e-01,3.9166884098e-01
2.700000,6.0121396335e-01,5.8318354893e-01,5.8358382486e-01,5.6311663077e-01,4.8966179353e-01,5.1038366414e-01,4.3670960339e-01,4.1625577113e-01,4.1706316790e-01,3.9882803200e-01
2.750000,5.9493118357e-01,5.9018925211e-01,5.8216387892e-01,5.6698513806e-01,4.9213352681e-01,5.0791466370e-01,4.3284842826e-01,4.1770291187e-01,4.1000318311e-01,4.0512783359e-01
2.800000,5.8966388861e-01,5.9727055570e-01,5.7909296304e-01,5.7052292899e-01,4.9586096555e-01,5.0418786576e-01,4.2931763348e-01,4.2081190751e-01,4.0286040758e-01,4.1041088377e-01
2.850000,5.8551994670e-01,6.0417723790e-01,5.7455893429e-01,5.7371336689e-01,5.0065721183e-01,4.9938942752e-01,4.2613425452e-01,4.2539404981e-01,3.9588672004e-01,4.1456885050e-01
2.900000,5.8255719513e-01,6.1065025051e-01,5.6887246505e-01,5.7650797888e-01,5.0621525356e-01,4.9382557966e-01,4.2334772975e-01,4.3113704171e-01,3.8934296405e-01,4.1754354170e-01
2.950000,5.8078596927e-01,6.1644123845e-01,5.6243327235e-01,5.7883333341e-01,5.1213410520e-01,4.8789659739e-01,4.2103291124e-01,4.3763883430e-01,3.8347936959e-01,4.1932436880e-01
3.000000,5.8017453793e-01,6.2133031662e-01,5.5568943171e-01,5.8060251725e-01,5.1795817620e-01,4.8205757459e-01,4.1927836961e-01,4.4444846131e-01,3.7851771849e-01,4.1994289628e-01
3.050000,5.8065630671e-01,6.2514063693e-01,5.4909535900e-01,5.8172807279e-01,5.2322187807e-01,4.7677396128e-01,4.1817315927e-01,4.5110827715e-01,3.7463672858e-01,4.1946562022e-01
3.100000,5.8213750629e-01,6.2774891827e-01,5.4307367903e-01,5.8213318721e-01,5.2749136494e-01,4.7247993967e-01,4.1779529691e-01,4.5719235620e-01,3.7196148837e-01,4.1798626312e-01
3.150000,5.8450423952e-01,6.2909168591e-01,5.3798468533e-01,5.8175919645e-01,5.3039779412e-01,4.6954523148e-01,4.1820394371e-01,4.6233731439e-01,3.7055719418e-01,4.1561871491e-01
3.200000,5.8762816549e-01,6.2916736332e-01,5.3410491470e-01,5.8056954514e-01,5.3166054172e-01,4.6825189380e-01,4.1943520522e-01,4.6626398876e-01,3.7042703813e-01,4.1249134372e-01
3.250000,5.9137062000e-01,6.2803457164e-01,5.3161426822e-01,5.7855224906e-01,5.3110267809e-01,4.6877880235e-01,4.2149954971e-01,4.6879050388e-01,3.7151387968e-01,4.0874287738e-01
3.300000,5.9558545091e-01,6.2580708835e-01,5.3058985505e-01,5.7572364963e-01,5.2866296479e-01,4.7118956869e-01,4.2437808943e-01,4.6983851973e-01,3.7370523769e-01,4.0451957573e-01
3.350000,6.0012114402e-01,6.2264599777e-01,5.3100472953e-01,5.7213530627e-01,5.2440771389e-01,4.7542055579e-01,4.2801589183e-01,4.6943447979e-01,3.7684106572e-01,3.9997311540e-01
